Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
Volkswagen,45000,sedan,90000,3,Diesel,yes,2011,Phaeton
Renault,8300,van,141000,2,Diesel,yes,2011,Trafic
Renault,5100,vagon,156000,1.5,Diesel,yes,2006,Kangoo
Toyota,15300,other,116000,2.4,Petrol,yes,2009,Camry
Volkswagen,7300,van,142000,2,Diesel,yes,2006,Caddy
Toyota,14700,hatch,98000,1.6,Gas,yes,2013,Auris
Mercedes-Benz,7900,other,197000,2.2,Diesel,yes,2003,Vito
Volkswagen,2900,vagon,243000,1.9,Diesel,no,1999,Passat B5
Mercedes-Benz,NA,crossover,0,3,Diesel,yes,2016,GLE-Class
BMW,3200,sedan,237000,2.5,Petrol,yes,1990,525
Mercedes-Benz,4400,sedan,160000,2.7,Diesel,no,2000,E-Class
Toyota,20800,crossover,107000,4,Petrol,yes,2006,Land Cruiser Prado
Toyota,27800,crossover,98000,2.2,Diesel,yes,2013,Rav 4
Audi,16500,vagon,171000,2,Diesel,yes,2008,A6
Mercedes-Benz,NA,van,190000,2.2,Diesel,yes,2007,Vito
Renault,10500,van,67000,1.6,Petrol,yes,2012,Scenic
Mitsubishi,16999,crossover,107000,3,Gas,yes,2008,Pajero Wagon
Audi,35000,sedan,92000,2.8,Petrol,yes,2013,A6
Mercedes-Benz,21500,crossover,142000,3.5,Petrol,yes,2008,ML 350
Mercedes-Benz,15800,other,264000,2.2,Other,yes,2009,Vito
BMW,75555,sedan,30000,4.4,Petrol,yes,2014,550
Renault,NA,van,159000,1.5,Diesel,yes,2011,Kangoo
Toyota,8900,other,180000,2,Petrol,yes,2003,Rav 4
Renault,6300,vagon,189000,1.5,Diesel,yes,2008,Kangoo
Mitsubishi,20500,crossover,109000,3.2,Diesel,yes,2009,Pajero Wagon
Volkswagen,11300,van,165000,1.9,Diesel,yes,2010,Caddy
Mercedes-Benz,2300,sedan,261000,2.3,Gas,yes,1978,E-Class
Volkswagen,42500,crossover,63000,3,Diesel,yes,2014,Touareg
Toyota,28000,crossover,95000,3.5,Gas,yes,2011,Highlander
Mitsubishi,17500,crossover,38000,1.8,Petrol,yes,2012,ASX
Volkswagen,7800,van,282000,2.5,Diesel,yes,2000,T4 (Transporter)
Mercedes-Benz,74999,crossover,1000,2.2,Diesel,yes,2016,GLE-Class
Renault,10200,other,39000,1.5,Diesel,yes,2014,Kangoo
BMW,22500,sedan,179000,3,Diesel,yes,2007,730
Mercedes-Benz,52777,sedan,60000,3,Diesel,yes,2012,CLS 350
Toyota,14250,van,127000,3.5,Other,yes,2007,Sienna
Toyota,26200,crossover,156000,4,Gas,yes,2007,Land Cruiser Prado
Volkswagen,9800,van,299000,2.5,Diesel,yes,2002,T4 (Transporter)
Mercedes-Benz,47600,van,0,2.2,Diesel,yes,2016,Vito
Volkswagen,8700,other,357000,2.5,Diesel,yes,2003,T4 (Transporter) 
BMW,30500,crossover,147000,3,Diesel,yes,2008,X5
Renault,11700,vagon,177000,1.5,Diesel,yes,2012,Laguna
BMW,29500,sedan,850000,NA,Petrol,yes,2011,523
Mercedes-Benz,6400,hatch,177000,2,Diesel,no,2008,B 200
BMW,36400,crossover,80000,3,Petrol,yes,2011,X5
Audi,75000,crossover,0,3,Diesel,yes,2015,Q7
Volkswagen,6000,hatch,195000,1.2,Gas,yes,2004,Polo
Mercedes-Benz,4900,van,248000,2.2,Diesel,yes,2003,Vito
Mercedes-Benz,6999,sedan,288000,3.2,Gas,yes,2001,E-Class
Volkswagen,9900,other,171000,1.6,Diesel,yes,2011,Caddy
Volkswagen,3500,sedan,189000,1.8,Petrol,yes,1993,Vento
Volkswagen,NA,van,162000,2,Diesel,yes,2011,T5 (Transporter) 
BMW,1750,vagon,200000,2,Petrol,no,2000,520
Renault,4600,sedan,230000,1.5,Diesel,yes,2007,Kangoo
Mercedes-Benz,NA,other,0,3,Other,yes,2016,S 400
Volkswagen,9800,van,220000,1.9,Diesel,yes,2008,Caddy
Renault,5950,van,135000,1.5,Diesel,yes,2012,Kangoo
Renault,7400,van,120000,1.5,Diesel,yes,2012,Kangoo
Audi,12800,sedan,217000,1.8,Petrol,yes,2007,A4
BMW,7300,sedan,350000,NA,Petrol,yes,1997,520
Volkswagen,9000,sedan,59000,1.6,Gas,yes,2013,Polo
Volkswagen,1550,hatch,130000,1.3,Petrol,yes,1986,Golf II
Mitsubishi,18600,crossover,52000,2,Petrol,yes,2013,Outlander
BMW,3900,sedan,340000,2.5,Diesel,no,2000,525
Audi,92222,crossover,0,3,Diesel,yes,2016,Q7
Volkswagen,5400,other,314000,2.4,Diesel,yes,1993,T4 (Transporter)
Audi,16000,sedan,250000,2,Diesel,yes,2008,A6
Volkswagen,3500,other,304000,1.9,Diesel,no,2006,Touran
Mercedes-Benz,6500,sedan,270000,2.8,Gas,yes,1999,E-Class
Mercedes-Benz,7000,sedan,300000,4.3,Gas,yes,2000,E-Class
Renault,10499,vagon,121000,1.5,Diesel,yes,2013,Megane
Renault,13900,crossover,111000,2.5,Gas,yes,2010,Koleos
BMW,6400,other,220000,2.5,Petrol,yes,1997,323
BMW,10800,sedan,246000,3,Diesel,yes,2003,530
BMW,12700,hatch,130000,2,Petrol,yes,2007,118
BMW,38500,sedan,140000,2,Diesel,yes,2012,520
Mitsubishi,5999,sedan,150000,1.6,Petrol,yes,2005,Lancer
Renault,9500,hatch,77000,1.6,Petrol,yes,2011,Megane
Volkswagen,12000,van,196000,2,Diesel,yes,2011,T5 (Transporter) 
Mercedes-Benz,38700,sedan,117000,5.5,Petrol,yes,2010,S 550
Mercedes-Benz,40000,other,119000,6.3,Petrol,yes,2008,ML 63 AMG
Mercedes-Benz,6900,other,311000,2.2,Diesel,yes,1999,Vito
Audi,24300,sedan,43000,1.8,Petrol,yes,2012,A4
Mitsubishi,17700,crossover,165000,3,Gas,yes,2007,Pajero Wagon
Toyota,18999,crossover,153000,2.7,Gas,yes,2006,Land Cruiser Prado
BMW,8300,sedan,200000,4.4,Petrol,yes,2001,740
Toyota,25000,crossover,80000,4,Gas,yes,2008,FJ Cruiser
Volkswagen,NA,vagon,161000,1.4,Petrol,yes,2011,Passat B7
Mitsubishi,12499,crossover,142000,2.4,Gas,yes,2008,Outlander XL
BMW,2899,sedan,340000,2.4,Diesel,yes,1988,524
BMW,19900,other,95000,4.5,Petrol,yes,2005,645
Audi,51000,crossover,44000,3,Diesel,yes,2014,Q7
Audi,81999,crossover,0,2.98,Diesel,yes,2016,Q7
BMW,9500,sedan,400000,3.5,Gas,yes,1999,735
Mitsubishi,10200,crossover,99000,2,Gas,yes,2008,Outlander
Mercedes-Benz,5500,van,260000,2.2,Diesel,no,2004,Vito
Volkswagen,18500,sedan,74000,1.8,Petrol,yes,2011,Passat CC
Volkswagen,11200,van,200000,2.5,Diesel,yes,2003,T4 (Transporter)
BMW,3099,sedan,320000,2,Diesel,no,2000,320
Audi,27300,other,65000,2,Petrol,yes,2011,TT
Volkswagen,1450,other,200000,1.8,Gas,yes,1987,Jetta
Mitsubishi,9700,sedan,120000,2.4,Gas,yes,2006,Galant
Mitsubishi,18900,crossover,127000,3,Gas,yes,2008,Pajero Wagon
Audi,33500,crossover,67000,2,Petrol,yes,2011,Q5
Volkswagen,5500,van,400000,1.9,Diesel,yes,1995,T4 (Transporter)
Volkswagen,5300,sedan,270000,1.8,Gas,yes,1997,Passat B5
Toyota,25500,crossover,200000,4,Petrol,yes,2007,Land Cruiser Prado
Toyota,23660,crossover,125000,3.5,Gas,yes,2013,Highlander
Volkswagen,3100,hatch,311000,1.6,Gas,yes,1986,Golf II
Mitsubishi,5900,sedan,170000,1.6,Petrol,yes,2007,Lancer
Volkswagen,15900,sedan,150000,2,Diesel,yes,2012,Passat B7
Mercedes-Benz,105999,crossover,0,2.98,Diesel,yes,2016,GLE-Class
Mercedes-Benz,18500,van,170000,2.2,Diesel,yes,2010,Vito
BMW,86999,crossover,0,3,Diesel,yes,2016,X6
BMW,27800,sedan,170000,2,Diesel,yes,2011,520
Volkswagen,9000,van,275000,2.5,Diesel,yes,2002,T4 (Transporter)
Toyota,12200,sedan,185000,3.5,Petrol,yes,2008,Camry
Toyota,5800,sedan,200000,2.2,Petrol,yes,1999,Camry
Volkswagen,14499,van,164000,2,Diesel,yes,2013,T5 (Transporter) 
Audi,37000,other,170000,3,Diesel,yes,2010,Q7
Volkswagen,4500,hatch,199000,1.8,Petrol,yes,1996,Golf III
Audi,6557.85,sedan,327000,4.2,Gas,yes,2000,A8
Renault,6800,sedan,219000,1.6,Gas,yes,2007,Megane
BMW,37900,crossover,97000,3,Diesel,yes,2010,X6
Audi,14200,sedan,176000,3,Diesel,yes,2005,A6
Mitsubishi,9350,sedan,94000,1.5,Gas,yes,2010,Lancer X
Volkswagen,2200,vagon,150000,1.6,Petrol,yes,1986,Passat B2
Toyota,3100,hatch,283000,1.3,Petrol,yes,1994,Corolla
Mitsubishi,8400,crossover,100000,3.2,Diesel,yes,2011,Pajero Wagon
Audi,30650,vagon,35000,2,Petrol,yes,2013,A4 Allroad
Audi,8800,sedan,298000,2.4,Gas,yes,1999,A6
Mercedes-Benz,NA,other,25000,4.7,Petrol,yes,2014,S 500
Mitsubishi,7699,crossover,254000,3,Petrol,yes,2002,Pajero Sport
Renault,6400,van,136000,1.5,Diesel,yes,2012,Kangoo
Volkswagen,16200,hatch,44000,1.4,Petrol,yes,2012,Golf VI
Volkswagen,4100,sedan,88000,1.8,Gas,yes,1993,Vento
Mercedes-Benz,6800,sedan,235000,2.2,Diesel,yes,1999,C-Class
Volkswagen,10600,sedan,75000,1.6,Petrol,yes,2012,Polo
Toyota,13000,crossover,149000,2,Petrol,yes,2006,Rav 4
Toyota,6500,sedan,248000,2,Petrol,yes,2001,Avensis
Audi,25500,vagon,181000,3,Petrol,yes,2009,A6 Allroad
Volkswagen,28000,crossover,132000,2,Diesel,yes,2011,Amarok
Toyota,9800,sedan,123000,NA,Petrol,yes,2008,Corolla
Audi,3500,sedan,200000,2.5,Diesel,no,2001,A8
Volkswagen,14899,van,165000,2,Diesel,yes,2013,Caddy
BMW,3500,sedan,300000,3,Diesel,no,1999,530
BMW,3500,sedan,272000,2,Diesel,yes,2000,320
Volkswagen,71138,crossover,0,3,Diesel,yes,2016,Touareg
Renault,9658.94,sedan,1000,1.2,Petrol,yes,2016,Logan
Volkswagen,13000,van,178000,2.5,Diesel,yes,2007,T6 (Transporter)
Toyota,8000,hatch,115000,1.6,Petrol,yes,2007,Corolla
BMW,56500,crossover,1000,2,Diesel,yes,2016,X5
Renault,9700,vagon,114000,1.5,Diesel,yes,2012,Kangoo
Mercedes-Benz,7300,hatch,176000,1.4,Petrol,yes,2004,A 140
Renault,9000,vagon,190000,1.5,Diesel,yes,2009,Megane
Volkswagen,17900,sedan,96000,2.5,Petrol,yes,2013,Passat B7
Volkswagen,10700,sedan,147000,2,Petrol,yes,2007,Passat B6
Mercedes-Benz,11600,sedan,186000,3.2,Petrol,yes,2003,E-Class
Volkswagen,15000,van,275000,2.5,Diesel,yes,2008,T5 (Transporter)
Volkswagen,8350,hatch,200000,1.4,Petrol,yes,2005,Golf V
Mercedes-Benz,7700,sedan,199000,5,Petrol,yes,1996,S 500
BMW,47000,other,5000,2,Petrol,yes,2014,Z4
Audi,72000,sedan,55000,6.3,Petrol,yes,2012,A8
Mitsubishi,17499,crossover,149000,3,Gas,yes,2008,Pajero Wagon
Renault,11300,vagon,141000,1.5,Diesel,yes,2013,Megane
Toyota,8500,sedan,168000,1.6,Petrol,yes,2008,Corolla
Mercedes-Benz,14490,vagon,212000,2.2,Diesel,yes,2008,E-Class
Volkswagen,11999,van,176000,2,Diesel,yes,2011,T5 (Transporter) 
Volkswagen,4300,hatch,217000,1.6,Gas,yes,1997,Golf III
BMW,35500,crossover,33000,2,Diesel,yes,2014,X1
Toyota,2800,other,421000,1.3,Gas,yes,1988,Corolla
BMW,37976.25,sedan,0,2,Petrol,yes,2016,520
Renault,10500,van,183000,2.5,Diesel,yes,2006,Trafic
Toyota,74999,crossover,1000,4.5,Diesel,yes,2016,Land Cruiser 200
Renault,7300,van,125000,1.5,Diesel,yes,2012,Kangoo
Mitsubishi,12200,crossover,140000,2.4,Petrol,yes,2007,Outlander XL
Toyota,NA,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
Mercedes-Benz,13600,van,199000,2.2,Diesel,yes,2009,Vito
Audi,5000,sedan,280000,2.3,Gas,yes,1992,100
Renault,12800,other,188000,2,Diesel,yes,2008,Trafic
Volkswagen,12499,other,184000,2,Diesel,yes,2012,T6 (Transporter) 
Mitsubishi,2800,sedan,150000,2,Gas,yes,1996,Galant
Renault,7300,van,200000,1.5,Diesel,yes,2007,Megane
Mitsubishi,6800,sedan,82000,2,Petrol,yes,2007,Lancer
Mitsubishi,9500,crossover,225000,2.4,Gas,yes,2004,Outlander
Audi,15900,hatch,160000,1.4,Petrol,yes,2011,A3
Volkswagen,8900,other,180000,1.9,Diesel,yes,2010,Caddy
Toyota,16030,sedan,90000,2.5,Gas,yes,2012,Camry
BMW,28000,sedan,170000,2,Diesel,yes,2011,520
Audi,10700,vagon,222000,2.5,Diesel,yes,2005,A6
BMW,25000,crossover,150000,30,Petrol,yes,2007,X5
Mercedes-Benz,7000,sedan,230000,2,Gas,yes,2000,E-Class
Volkswagen,8800,van,260000,2.5,Diesel,yes,2008,T5 (Transporter) 
Volkswagen,35000,crossover,20000,2,Diesel,yes,2014,Tiguan
Audi,8000,vagon,200000,2.7,Diesel,yes,2006,A6
Mercedes-Benz,15400,sedan,260000,2.2,Diesel,yes,2008,E-Class
Volkswagen,7650,sedan,325000,1.8,Gas,yes,2003,Passat B5
Mitsubishi,10600,crossover,52000,2,Petrol,yes,2008,Outlander
Renault,8200,vagon,192000,1.5,Diesel,yes,2010,Logan
Volkswagen,8700,other,520000,2.5,Diesel,yes,1999,T4 (Transporter)
BMW,45000,sedan,29000,2,Diesel,yes,2016,520
Volkswagen,5699,van,258000,2.5,Diesel,yes,2001,T4 (Transporter) 
Mercedes-Benz,13200,van,217000,3.7,Gas,yes,2005,Viano
Volkswagen,11500,van,70000,2,Diesel,yes,2013,Caddy
BMW,3300,sedan,233000,28,Petrol,no,1997,528
Volkswagen,12700,van,213000,2,Diesel,yes,2012,T5 (Transporter) 
Mercedes-Benz,NA,other,176000,3,Diesel,yes,2008,E-Class
Volkswagen,12300,hatch,62000,1.4,Petrol,yes,2012,Polo
Mercedes-Benz,35500,sedan,100000,3.5,Petrol,yes,2010,S 350
Audi,15500,sedan,210000,2,Diesel,yes,2008,A4
Mercedes-Benz,33000,crossover,109000,2.2,Diesel,yes,2012,GLK 220
Mercedes-Benz,NA,van,173000,2.2,Diesel,yes,2011,Vito
BMW,6500,sedan,280000,2,Petrol,yes,1997,320
Volkswagen,2350,sedan,11000,1.9,Other,no,2000,Passat B5
Volkswagen,17900,crossover,130000,3.6,Gas,yes,2007,Touareg
BMW,34500,other,160000,3,Diesel,yes,2010,X5
Renault,12300,sedan,99000,2.5,Petrol,yes,2011,Latitude
Mercedes-Benz,20500,sedan,193000,3.5,Other,yes,2006,CLS 350
BMW,75555,sedan,30000,4.4,Petrol,yes,2014,M5
Toyota,12800,sedan,145000,2.4,Petrol,yes,2008,Camry
Mercedes-Benz,12800,other,360000,2.2,Diesel,yes,2008,Vito
Audi,6900,sedan,327000,3.7,Petrol,yes,1997,A8
Volkswagen,17200,crossover,220000,2.5,Diesel,yes,2006,Touareg
Renault,6800,sedan,87000,1.4,Petrol,yes,2013,Symbol
Audi,14300,other,80000,4.2,Petrol,yes,2004,A8
Volkswagen,11600,sedan,169000,1.4,Gas,no,2013,Passat B7
Volkswagen,11990,van,231000,2.5,Diesel,yes,2002,T4 (Transporter)
BMW,77777,sedan,8000,4.4,Petrol,yes,2014,750
Mercedes-Benz,6800,sedan,186000,NA,Petrol,yes,1998,C-Class
BMW,2800,sedan,300000,1.8,Other,yes,1987,318
Mercedes-Benz,28500,other,65000,1.8,Petrol,yes,2011,E-Class
Audi,42700,crossover,75000,3,Diesel,yes,2013,Q7
Volkswagen,6950,other,217000,1.9,Diesel,yes,2006,Caddy
Volkswagen,7300,hatch,117000,1.4,Petrol,yes,2007,Polo
Mercedes-Benz,NA,sedan,25000,3,Diesel,yes,2014,S 350
Mitsubishi,27565.2,crossover,1000,2.5,Diesel,yes,2016,Pajero Sport
Volkswagen,12900,vagon,145000,1.6,Diesel,yes,2011,Golf Variant
Volkswagen,5900,sedan,217000,2.3,Petrol,yes,1999,Bora
Mercedes-Benz,2600,hatch,111000,1.4,Petrol,no,1999,A 140
Audi,2799,vagon,390000,1.9,Diesel,no,1998,A6
Mitsubishi,21000,crossover,98000,2.5,Diesel,yes,2011,Pajero Sport
Audi,4999,sedan,231000,1.9,Diesel,no,2002,A6
Volkswagen,6900,sedan,160000,1.6,Petrol,yes,2003,Bora
Mercedes-Benz,5800,sedan,366000,3.2,Gas,yes,1991,S 320
Mitsubishi,15700,other,68000,1.8,Petrol,yes,2011,ASX
Volkswagen,74500,crossover,0,3,Diesel,yes,2015,Touareg
Mercedes-Benz,22900,sedan,131000,5.5,Gas,yes,2008,S 500
Mercedes-Benz,32000,crossover,96000,3.5,Petrol,yes,2010,ML 350
Mercedes-Benz,35300,sedan,3000,1.6,Petrol,yes,2014,CLA 200
Volkswagen,6900,sedan,320000,1.8,Gas,yes,2002,Passat B5
BMW,7000,sedan,286000,2.8,Petrol,yes,2001,520
Volkswagen,35800,crossover,92000,3,Diesel,yes,2011,Touareg
Volkswagen,10700,hatch,60000,1.4,Petrol,yes,2010,Polo
BMW,23999,crossover,194000,3,Petrol,yes,2007,X5
Volkswagen,2700,hatch,300000,1.9,Diesel,no,2000,Golf IV
Mercedes-Benz,10000,sedan,80000,NA,Diesel,yes,2010,S 350
Toyota,18200,crossover,146000,2.7,Gas,yes,2006,Land Cruiser Prado
Audi,2450,vagon,325000,2.5,Diesel,no,2000,A6
Audi,15800,hatch,123000,1.4,Petrol,yes,2010,A3
Volkswagen,9400,vagon,176000,1.9,Diesel,yes,2005,Passat B5
Mitsubishi,5800,vagon,230000,1.6,Petrol,yes,2005,Space Star
Volkswagen,13499,sedan,162000,1.4,Petrol,yes,2012,Passat B7
Volkswagen,39615,sedan,0,2,Diesel,yes,2016,Passat B8
Toyota,23300,crossover,40000,2,Petrol,yes,2014,Rav 4
Audi,2100,sedan,217000,1.9,Diesel,no,1996,A4
BMW,3000,sedan,350000,99.99,Other,yes,1992,520
Mercedes-Benz,2700,sedan,337000,2.3,Gas,yes,1988,230
Renault,NA,van,153000,2,Diesel,yes,2012,Trafic
Volkswagen,6700,van,16000,2,Diesel,yes,2005,Caddy
BMW,43163.25,crossover,0,2,Diesel,yes,2016,X1
Renault,2750,hatch,186000,22,Diesel,no,2005,Laguna
Toyota,28350,crossover,92000,2.2,Diesel,yes,2013,Rav 4
Toyota,29500,crossover,90000,2.7,Gas,yes,2010,Land Cruiser Prado
BMW,NA,crossover,15000,4.39,Petrol,yes,2015,X5 M
Volkswagen,8200,sedan,258000,1.9,Diesel,yes,2004,Passat B5
Mercedes-Benz,10999,other,269000,2.2,Diesel,yes,2006,Sprinter 313
Mercedes-Benz,NA,crossover,1000,3,Diesel,yes,2016,GLS 350
Renault,8299,sedan,19000,1.2,Petrol,yes,2013,Logan
Toyota,20500,sedan,105000,2.5,Petrol,yes,2013,Camry
Volkswagen,14500,van,168000,2,Diesel,yes,2012,T5 (Transporter) 
Toyota,17300,other,135000,3.5,Gas,yes,2009,Camry
Mercedes-Benz,18700,sedan,105000,5.5,Petrol,yes,2006,S 500
Toyota,13200,sedan,38000,1.33,Petrol,yes,2014,Corolla
Volkswagen,2450,sedan,200000,1.3,Gas,yes,1991,Jetta
Audi,55000,hatch,24000,2.8,Other,yes,2014,A7
Toyota,20000,van,135000,2.4,Gas,yes,2006,Previa
Volkswagen,4000,hatch,266000,1.9,Diesel,yes,1993,Golf III
Mitsubishi,16900,other,120000,3,Petrol,yes,2008,Pajero Wagon
Mitsubishi,11450,sedan,60000,1.6,Gas,yes,2012,Lancer X
Mercedes-Benz,24500,crossover,236000,5,Petrol,yes,2000,G 500
Renault,12350,sedan,64000,2,Gas,yes,2011,Fluence
Mercedes-Benz,6900,sedan,239000,2.3,Petrol,yes,1996,E-Class
Toyota,30500,crossover,40000,2.7,Petrol,yes,2011,Land Cruiser Prado
Mitsubishi,8800,sedan,105000,2,Gas,yes,2008,Lancer X
Audi,9700,sedan,249000,2.5,Diesel,yes,2004,A6
BMW,63500,crossover,33000,3,Petrol,yes,2015,X5
Mitsubishi,8900,sedan,96000,2,Petrol,yes,2008,Lancer X
Audi,1950,vagon,210000,1.8,Gas,no,1996,A4
Audi,4400,sedan,190000,2.5,Diesel,no,2003,A6
Toyota,12450,sedan,162000,3.5,Gas,yes,2007,Camry
Audi,3200,sedan,295000,2.5,Diesel,no,2000,A6
Audi,12600,sedan,294000,3,Gas,yes,2004,A8
Renault,NA,vagon,137000,1.9,Diesel,yes,2008,Kangoo
Mercedes-Benz,4400,sedan,225000,2,Gas,yes,1995,E-Class
Mercedes-Benz,3900,sedan,111000,2.5,Diesel,yes,1989,E-Class
Mercedes-Benz,154999,crossover,0,4.6,Petrol,yes,2016,GLS 500
Volkswagen,8499,sedan,101000,1.6,Petrol,yes,2012,Polo
Mercedes-Benz,8000,other,230000,2.2,Diesel,yes,2001,Vito
Volkswagen,3500,hatch,250000,1.9,Diesel,no,2000,Beetle
Audi,11900,sedan,195000,2.4,Gas,yes,2005,A6
Toyota,24800,sedan,43000,2.5,Gas,yes,2015,Camry
Audi,3800,vagon,190000,2.5,Diesel,no,2002,A6
Volkswagen,4800,sedan,190000,99.99,Petrol,yes,1998,Passat B5
Volkswagen,7500,van,230000,1.9,Diesel,yes,2006,Caddy
BMW,8999,sedan,270000,2.8,Petrol,yes,1998,528
Volkswagen,5000,van,326000,2.4,Diesel,yes,1995,T4 (Transporter)
Mercedes-Benz,21000,crossover,135000,3.5,Petrol,yes,2007,ML 350
Renault,4200,van,142000,1.9,Diesel,yes,2007,Kangoo
Mitsubishi,18000,crossover,160000,3.2,Diesel,yes,2007,Pajero Wagon
Volkswagen,8500,van,220000,2.5,Diesel,yes,2003,T4 (Transporter)
Renault,3750,hatch,232000,1.8,Petrol,yes,1997,Laguna
Volkswagen,9000,other,212000,2,Gas,yes,2007,Caddy
Mitsubishi,6300,crossover,235000,3.2,Diesel,no,2001,Pajero
BMW,8400,sedan,297000,2.2,Petrol,yes,2000,320
Volkswagen,5000,hatch,190000,NA,Petrol,yes,1998,Golf IV
Volkswagen,17000,van,157000,2,Diesel,yes,2010,T5 (Transporter)
Volkswagen,3000,sedan,240000,1.8,Petrol,yes,1991,Jetta
Mercedes-Benz,21300,crossover,114000,4.7,Petrol,yes,2007,GL 450
BMW,16500,crossover,230000,3,Gas,yes,2004,X5
Mercedes-Benz,7300,other,250000,2.2,Diesel,yes,2005,Sprinter 311
Mercedes-Benz,NA,van,300000,2.3,Diesel,yes,1996,Vito
Mercedes-Benz,2300,sedan,300000,3,Diesel,yes,1999,E-Class
BMW,8200,sedan,250000,4.4,Petrol,yes,1997,540
Audi,35000,sedan,61000,2.8,Petrol,yes,2012,A6
Volkswagen,7800,vagon,193000,1.9,Diesel,yes,2002,Passat B5
Volkswagen,8200,hatch,157000,1.6,Petrol,yes,2008,Golf Plus
Audi,39999,crossover,45000,2,Diesel,yes,2014,Q5
Renault,11900,other,173000,2,Diesel,yes,2012,Trafic
Mercedes-Benz,3600,sedan,276000,2.7,Diesel,no,2001,E-Class
Volkswagen,3399,sedan,201000,1.8,Petrol,yes,1991,Passat B3
BMW,2650,vagon,335000,2,Petrol,no,2000,320
Mercedes-Benz,11700,hatch,103000,1.5,Petrol,yes,2007,A 150
Mercedes-Benz,1600,hatch,180000,NA,Petrol,no,2000,A 160
BMW,2550,vagon,312000,2.5,Diesel,no,1999,525
Renault,NA,van,220000,2,Diesel,yes,2008,Trafic
Mercedes-Benz,2550,vagon,367000,3.2,Diesel,no,2000,E-Class
Audi,31700,sedan,32000,1.8,Petrol,yes,2014,A4
Mercedes-Benz,125000,sedan,18000,3,Diesel,yes,2015,S 350
BMW,20500,crossover,285000,4.8,Petrol,yes,2006,X5
Mitsubishi,2600,other,200000,2.4,Petrol,no,2002,Lancer
BMW,2500,vagon,250000,2.5,Diesel,no,2000,525
Mercedes-Benz,13200,van,182000,2.2,Diesel,yes,2011,Vito
Mercedes-Benz,31000,crossover,220000,3.2,Diesel,yes,2008,GL 320
Audi,30900,vagon,118000,2,Petrol,yes,2013,A4 Allroad
Mitsubishi,4750,sedan,167000,1.6,Petrol,yes,2003,Carisma
Volkswagen,NA,van,160000,2,Diesel,yes,2011,T6 (Transporter) 
Audi,NA,sedan,62000,3,Petrol,yes,2013,A8
Toyota,8950,hatch,118000,1.6,Petrol,yes,2008,Auris
Renault,8300,van,177000,1.5,Diesel,yes,2007,Grand Scenic
Audi,6900,sedan,360000,2.5,Diesel,yes,1997,A6
Volkswagen,5000,sedan,81000,NA,Other,no,2013,Passat B7
BMW,69999,crossover,71000,4.4,Petrol,yes,2011,X5 M
Volkswagen,3250,sedan,255000,1.9,Diesel,no,2003,Passat B5
Volkswagen,11900,hatch,91000,1.4,Petrol,yes,2010,Golf VI
Mitsubishi,9600,other,114000,2,Petrol,yes,1999,Eclipse
Mercedes-Benz,21200,vagon,206000,2.1,Diesel,yes,2011,C-Class
Toyota,102999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
Mercedes-Benz,11900,van,277000,2.2,Diesel,yes,2007,Vito
Renault,9999,van,185000,1.5,Diesel,yes,2008,Kangoo
Renault,8500,sedan,57000,1.2,Gas,yes,2013,Logan
Volkswagen,6500,other,385000,2.4,Diesel,yes,1997,T4 (Transporter)
Mitsubishi,8700,sedan,80000,1.5,Petrol,yes,2008,Lancer X
Volkswagen,8599,van,169000,1.6,Diesel,yes,2011,Caddy
Volkswagen,12700,hatch,156000,1.6,Diesel,yes,2011,Golf VI
Mitsubishi,7700,sedan,135000,2,Gas,yes,2007,Lancer
Mitsubishi,2020,other,90000,NA,Other,no,2008,L 200
Volkswagen,NA,van,123000,1.2,Petrol,yes,2013,Caddy
Mitsubishi,8700,sedan,150000,2.4,Gas,yes,2007,Galant
Mitsubishi,9300,sedan,95000,2,Petrol,yes,2007,Lancer X
Mercedes-Benz,3550,sedan,238000,2.2,Diesel,no,2001,E-Class
Audi,29800,crossover,151000,3,Diesel,yes,2007,Q7
Renault,3900,van,202000,1.9,Diesel,yes,2001,Kangoo
BMW,NA,crossover,200000,3,Diesel,yes,2009,X5
Volkswagen,7000,van,345000,1.9,Diesel,yes,2006,T5 (Transporter) 
Audi,17700,other,70000,2,Petrol,yes,2009,TT
Toyota,9999,sedan,225000,3,Gas,yes,2004,Camry
Audi,25300,hatch,180000,2,Diesel,yes,2011,A5
Audi,22500,vagon,175000,2,Gas,yes,2010,A4 Allroad
Volkswagen,18600,sedan,2000,1.6,Petrol,yes,2015,Jetta
Mitsubishi,6999,sedan,160000,2,Petrol,yes,2007,Lancer
Toyota,16200,crossover,281000,4.2,Diesel,yes,1999,Land Cruiser 100
Mercedes-Benz,29999,hatch,9000,NA,Other,yes,2015,B-Class Electric Drive
Toyota,18000,crossover,320000,4.2,Diesel,yes,1999,Land Cruiser 100
Mercedes-Benz,27300,sedan,144000,2.14,Diesel,yes,2011,E-Class
Toyota,2700,sedan,550000,1.6,Gas,yes,1989,Carina
BMW,12000,crossover,218000,3,Diesel,no,2006,X5
Mercedes-Benz,39900,hatch,2000,NA,Other,yes,2015,B-Class Electric Drive
Volkswagen,1800,other,280000,1.9,Diesel,no,1997,Passat B5
